question1,question2,is_duplicate
Where should someone new to PostgreSQL begin?,How can a beginner start out with espresso?,0
How do I get started with sleep hygiene?,What are the risks of sleep hygiene?,0
How do I get started with Python?,Where should someone new to Python begin?,1
How do I get started with the water cycle?,How can a beginner start out with the water cycle?,1
Where should someone new to sleep hygiene begin?,How do I get started with sleep hygiene?,1
How do I get started with PostgreSQL?,Where should someone new to PostgreSQL begin?,1
Why is remote work controversial?,What is the best way to begin learning the violin?,0
How can a beginner start out with climate change?,What is the best way to begin learning climate change?,1
How do I get started with electric cars?,Who invented electric cars?,0
How can a beginner start out with rock climbing?,Where should someone new to rock climbing begin?,1
How do I get started with the stock market?,How can a beginner start out with the stock market?,1
How do I get started with rock climbing?,Where should someone new to rock climbing begin?,1
How can a beginner start out with electric cars?,Why is quantum computing controversial?,0
How do I get started with PostgreSQL?,How can a beginner start out with PostgreSQL?,1
What is the best way to begin learning espresso?,Who invented espresso?,0
What is the best way to begin learning sleep hygiene?,How can a beginner start out with sleep hygiene?,1
What is the best way to begin learning machine learning?,How do I get started with machine learning?,1
Why is the stock market controversial?,Where should someone new to the violin begin?,0
What is the history of electric cars?,How can a beginner start out with remote work?,0
How can a beginner start out with sleep hygiene?,Where should someone new to sleep hygiene begin?,1
How can a beginner start out with Go modules?,Why is Go modules controversial?,0
How do I get started with the Roman empire?,What is the best way to begin learning the stock market?,0
Where should someone new to Kubernetes begin?,How can a beginner start out with Kubernetes?,1
Where should someone new to Go modules begin?,How can a beginner start out with Go modules?,1
How do I get started with sleep hygiene?,How can a beginner start out with sleep hygiene?,1
How can a beginner start out with sleep hygiene?,How much does sleep hygiene cost?,0
What is the best way to begin learning sourdough bread?,Where should someone new to sourdough bread begin?,1
What is the best way to begin learning PostgreSQL?,How can a beginner start out with PostgreSQL?,1
What is the best way to begin learning rock climbing?,Why is rock climbing controversial?,0
How do I get started with Kubernetes?,How can a beginner start out with Kubernetes?,1
How do I get started with Python?,What is the best way to begin learning Python?,1
What is the best way to begin learning rock climbing?,What is the history of rock climbing?,0
How do I get started with compound interest?,Where should someone new to compound interest begin?,1
What is the best way to begin learning sleep hygiene?,Why is sleep hygiene controversial?,0
How can a beginner start out with Kubernetes?,What are the risks of Kubernetes?,0
Where should someone new to the violin begin?,What is the history of sleep hygiene?,0
Where should someone new to quantum computing begin?,How can a beginner start out with quantum computing?,1
What is the best way to begin learning espresso?,How do I get started with espresso?,1
What is the best way to begin learning compound interest?,How can a beginner start out with compound interest?,1
How do I get started with the stock market?,Where should someone new to the stock market begin?,1
How can a beginner start out with machine learning?,How do I get started with machine learning?,1
What are the risks of the Roman empire?,How can a beginner start out with the violin?,0
Where should someone new to compound interest begin?,Why is compound interest controversial?,0
How do I get started with the violin?,What is the history of the violin?,0
How do I get started with sourdough bread?,What is the best way to begin learning electric cars?,0
How do I get started with the immune system?,Where should someone new to the immune system begin?,1
Where should someone new to sleep hygiene begin?,How do I get started with sleep hygiene?,1
Where should someone new to PostgreSQL begin?,How do I get started with PostgreSQL?,1
How do I get started with sleep hygiene?,What are the risks of climate change?,0
What is the best way to begin learning espresso?,Who invented espresso?,0
Where should someone new to the violin begin?,How do I get started with the violin?,1
Where should someone new to Python begin?,What is the best way to begin learning Python?,1
Where should someone new to rock climbing begin?,What are the risks of rock climbing?,0
Where should someone new to the violin begin?,How do I get started with rock climbing?,0
How do I get started with the immune system?,What is the history of the immune system?,0
What is the best way to begin learning REST APIs?,What is the history of REST APIs?,0
What is the best way to begin learning Kubernetes?,Where should someone new to the stock market begin?,0
What is the best way to begin learning compound interest?,How can a beginner start out with compound interest?,1
How can a beginner start out with sourdough bread?,How much does sourdough bread cost?,0
What is the best way to begin learning the immune system?,Where should someone new to the immune system begin?,1
Where should someone new to rock climbing begin?,What is the best way to begin learning rock climbing?,1
Where should someone new to Python begin?,What are the risks of Python?,0
